id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1606515470412177408,1005862406063443968,1671858110000.0,2022-12-24 05:01:50,+0000,,@FIFAWorldCup @jamesdrodriguez 📈⚽️🇩🇪,und,[],[],553208349,553208349,Daniel_Siegel94,Daniel Siegel,6,05,https://twitter.com/Daniel_Siegel94/status/1606515470412177408,[],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,"[{'screen_name': 'FIFAWorldCup', 'name': 'FIFA World Cup', 'id': '138372303'}, {'screen_name': 'jamesdrodriguez', 'name': 'James Rodríguez', 'id': '280701704'}]",,,,
1606515439642841088,1606515439642841088,1671858103000.0,2022-12-24 05:01:43,+0000,,میسی کے عربی پوشاک کی قیمت 20 کروڑ لگ گئی #FIFAWorldCup  https://t.co/NwDHYKzOz6,ur,['fifaworldcup'],[],888689476511432704,888689476511432704,humnewspakistan,HUM News,6,05,https://twitter.com/humnewspakistan/status/1606515439642841088,['https://humnews.pk/latest/421471/'],[],0,,False,18,0,1,,FIFA WORLD CUP,,,,,,,[],,,,
1606515438875189249,1604465619243601920,1671858102000.0,2022-12-24 05:01:42,+0000,,@FIFAWorldCup How many people died in in the preparation of the FIFA Fan Festival in Doha! (?) 😄,en,[],[],1544554596831531014,1544554596831531014,RenoirSFW,Álvarez Christian,6,05,https://twitter.com/RenoirSFW/status/1606515438875189249,[],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,"[{'screen_name': 'FIFAWorldCup', 'name': 'FIFA World Cup', 'id': '138372303'}]",,,,
1606515402951241729,1606515402951241729,1671858094000.0,2022-12-24 05:01:34,+0000,,Amazing: Brazilian Footballer Richarlison's bicycle kick against Serbia wins Goal Of The Tournament for the FIFA World Cup 2022. 😲 #Richarlison #Brazil,en,"['richarlison', 'brazil']",[],1348851336821936128,1348851336821936128,manu369r,मनोरम रेग्मी💥मनु :),6,05,https://twitter.com/manu369r/status/1606515402951241729,[],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,[],,,,
1606515346932129793,1606485061565661184,1671858080000.0,2022-12-24 05:01:20,+0000,,@FIFAWorldCup_JP 私もロスから抜け出せないひとりです。 昨日の事のように感動の場面が頭の中に蘇ります。 この感動は私の中で一生忘れない ありがとうW杯 ありがとうSAMURAIBLUE🇯🇵  https://t.co/fE2VtJCwrt,ja,[],[],267194512,267194512,norizou2635,のんべぇ,6,05,https://twitter.com/norizou2635/status/1606515346932129793,[],"['https://pbs.twimg.com/media/Fkt9LGsagAIpeeP.jpg', 'https://pbs.twimg.com/media/Fkt9LZIacAEQzpn.jpg', 'https://pbs.twimg.com/media/Fkt9LtdaAAAIgSi.jpg', 'https://pbs.twimg.com/media/Fkt9MV2akAIuU-N.jpg']",1,https://pbs.twimg.com/media/Fkt9LGsagAIpeeP.jpg,False,1,0,0,,FIFA WORLD CUP,,,,,,,"[{'screen_name': 'FIFAWorldCup_JP', 'name': 'FIFAワールドカップ 🏆', 'id': '1549674520713510912'}]",,,,
1606515312249167872,1606515312249167872,1671858072000.0,2022-12-24 05:01:12,+0000,,Ya se hará viral el video donde Upamecano toca el balón con la mano en el tiro de esquina que cobro Francia segundos antes del penal pitado para el tercer gol de Mbappe   #FIFAWorldCup,es,['fifaworldcup'],[],2301952356,2301952356,galvez10_oscar,Adal-GALVEZ,6,05,https://twitter.com/galvez10_oscar/status/1606515312249167872,[],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,[],,,,
1606515308201656321,1606515308201656321,1671858071000.0,2022-12-24 05:01:11,+0000,,"AQI: 161 Advisory:- Unhealthy: everyone especially children, should limit prolonged outdoor exertion  #December #winter #ClimateChange #globalwarming #savetheplanet #PlantATree #AirQuality #environment #Healthy #Future #Children #FIFAWorldCup",en,"['december', 'winter', 'climatechange', 'globalwarming', 'savetheplanet', 'plantatree', 'airquality', 'environment', 'healthy', 'future', 'children', 'fifaworldcup']",[],862770138315149312,862770138315149312,napbot,Environment,6,05,https://twitter.com/napbot/status/1606515308201656321,[],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,[],,,,
1606515288157159424,1606515288157159424,1671858066000.0,2022-12-24 05:01:06,+0000,,How FIFA Silenced a World Cup Armband Campaign  #International  https://t.co/ZbrZSBDJpG,en,['international'],[],2863794265,2863794265,itsrohitchouhan,Rohit Chouhan Rajput,6,05,https://twitter.com/itsrohitchouhan/status/1606515288157159424,[],['https://pbs.twimg.com/media/Fkt9I_bWAAIMhJY.jpg'],1,https://pbs.twimg.com/media/Fkt9I_bWAAIMhJY.jpg,False,0,0,0,,FIFA WORLD CUP,,,,,,,[],,,,
1606515265856049152,1606515265856049152,1671858061000.0,2022-12-24 05:01:01,+0000,,"""When Messi scored the third goal, tears came to my eyes"" - Rafael Nadal on FIFA World Cup final  https://t.co/EsHGohqx85",en,[],[],1419154433624080387,1419154433624080387,sportnewsblogd1,Sportnews,6,05,https://twitter.com/sportnewsblogd1/status/1606515265856049152,['https://sportnews.blogdady.com/when-messi-scored-the-third-goal-tears-came-to-my-eyes-rafael-nadal-on-fifa-world-cup-final/'],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,[],,,,
1606515190551482369,1606407801772941321,1671858043000.0,2022-12-24 05:00:43,+0000,,@FIFAWorldCup Pele 🇧🇷 raised three World Cups Even Ronaldo 🇧🇷 raised two World Cups  Don't try to argue that because there is no way 😉😄,en,[],[],1536852489701670914,1536852489701670914,KidPlay54179088,Quick Hands,6,05,https://twitter.com/KidPlay54179088/status/1606515190551482369,[],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,"[{'screen_name': 'FIFAWorldCup', 'name': 'FIFA World Cup', 'id': '138372303'}]",,,,
1606515119265288192,1606335324442882051,1671858026000.0,2022-12-24 05:00:26,+0000,,@FIFAWorldCup @bora_twts jungkook,in,[],[],1103990087132631040,1103990087132631040,borahaeminsuga,military wife ᥫ᭡⁷,6,05,https://twitter.com/borahaeminsuga/status/1606515119265288192,[],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,"[{'screen_name': 'FIFAWorldCup', 'name': 'FIFA World Cup', 'id': '138372303'}, {'screen_name': 'bora_twts', 'name': 'bora 💜 (slow)', 'id': '1058344182610300930'}]",,,,
1606515106291949569,1606292362048798721,1671858023000.0,2022-12-24 05:00:23,+0000,,@fifaworldcup_ar Me,und,[],[],981707404193693697,981707404193693697,fulij77,مجود🖤.,6,05,https://twitter.com/fulij77/status/1606515106291949569,[],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,"[{'screen_name': 'fifaworldcup_ar', 'name': 'كأس العالم FIFA 🏆', 'id': '142266613'}]",,,,
1606515032505860096,1606262971310678016,1671858006000.0,2022-12-24 05:00:06,+0000,,@fifaworldcup_pt @richarlison97 Prêmio de consolação!!!,pt,[],[],230559153,230559153,Brenogarra,Breno Coelho,6,05,https://twitter.com/Brenogarra/status/1606515032505860096,[],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,"[{'screen_name': 'fifaworldcup_pt', 'name': 'Copa do Mundo FIFA 🏆', 'id': '142262635'}, {'screen_name': 'richarlison97', 'name': 'Richarlison Andrade', 'id': '902953691879223305'}]",,,,
1606515024792805377,1606515024792805377,1671858004000.0,2022-12-24 05:00:04,+0000,,เปิดเบื้องหลัง ‘ฟ้าขาว’ ประวัติศาสตร์สีประจำชาติของอาร์เจนตินา  🔴 อ่านเพิ่มเติม &gt;&gt;  https://t.co/ZTKq0Ba7Q1  #WC2022 #FIFAWORLDCUP #Qatar2022 #LIFE #SPACEBAR  https://t.co/RMLZ35CA9p,th,"['wc2022', 'fifaworldcup', 'qatar2022', 'life', 'spacebar']",[],1453219269395812354,1453219269395812354,SpacebarMediaTH,Spacebar,6,05,https://twitter.com/SpacebarMediaTH/status/1606515024792805377,['https://news.spacebar.th/world/fifa-argentina-blue-and-white-stripes-behind-LaAlbiceleste'],['https://pbs.twimg.com/media/Fkt85RLaAAAITNe.jpg'],1,https://pbs.twimg.com/media/Fkt85RLaAAAITNe.jpg,False,0,0,0,,FIFA WORLD CUP,,,,,,,[],,,,
1606515012842901504,1606515012842901504,1671858001000.0,2022-12-24 05:00:01,+0000,,Para jawara Piala Dunia 🏆  Tim manakah yang terbaik? 👀😳  #FIFAWorldCup  https://t.co/tWAufPAivb,in,['fifaworldcup'],[],27197792,27197792,GOAL_ID,GOAL Indonesia,6,05,https://twitter.com/GOAL_ID/status/1606515012842901504,[],['https://pbs.twimg.com/media/Fkt49m_aYAEX-eL.jpg'],1,https://pbs.twimg.com/media/Fkt49m_aYAEX-eL.jpg,False,45,23,9,,FIFA WORLD CUP,,,,,,,[],,,,
1606515008078114816,1606515008078114816,1671858000000.0,2022-12-24 05:00:00,+0000,,🤨 Pep Guardiola was straight to the point when explaining why Kalvin Phillips was not in the @ManCity squad for its return to competitive action after the @FIFAWorldCup in Qatar.  https://t.co/pzS8YUZeXO,en,[],[],43806353,43806353,beINSPORTS_AUS,beIN SPORTS,6,05,https://twitter.com/beINSPORTS_AUS/status/1606515008078114816,['https://www.beinsports.com/au/premier-league/video/guardiola-explains-omission-of-overweight-phi/2010859'],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,[],,,,
1606514997009747969,1606047175921651712,1671857997000.0,2022-12-24 04:59:57,+0000,,@FIFAWorldCup_JP 決勝しかない！,ja,[],[],1452949891840299017,1452949891840299017,jtakagra1,jtakagama,6,04,https://twitter.com/jtakagra1/status/1606514997009747969,[],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,"[{'screen_name': 'FIFAWorldCup_JP', 'name': 'FIFAワールドカップ 🏆', 'id': '1549674520713510912'}]",,,,
1606514939791020033,1595016743289856008,1671857983000.0,2022-12-24 04:59:43,+0000,,@obaid_in @dohanews @TamimBinHamad This man is a gentleman. I did not know  he was the King of Qatar and the owner of  the P. S.G. as well.  He was  so happy during the FIFA World Cup Qatar 2022 Ceremony and his smile was contagious.   Nice to see his daughter wearing AFA's jersey! :),en,[],[],1530637718551572482,1530637718551572482,T2Colman,Lorenza Colman-T2,6,04,https://twitter.com/T2Colman/status/1606514939791020033,[],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,"[{'screen_name': 'obaid_in', 'name': 'obaid', 'id': '136348114'}, {'screen_name': 'dohanews', 'name': 'Doha News', 'id': '23123824'}, {'screen_name': 'TamimBinHamad', 'name': 'تميم بن حمد', 'id': '3119992756'}]",,,,
1606514902608273413,1606190369464414209,1671857975000.0,2022-12-24 04:59:35,+0000,,"@fifaworldcup_es El mejor, lejos.  https://t.co/feCeH2TuvC",es,[],[],1325298099636547584,1325298099636547584,MaatiSmith8,Maati,6,04,https://twitter.com/MaatiSmith8/status/1606514902608273413,[],['https://pbs.twimg.com/media/Fkt8yheX0AInYhQ.jpg'],1,https://pbs.twimg.com/media/Fkt8yheX0AInYhQ.jpg,False,0,0,0,,FIFA WORLD CUP,,,,,,,"[{'screen_name': 'fifaworldcup_es', 'name': 'Copa Mundial FIFA 🏆', 'id': '142296675'}]",,,,
1606514871822319616,1606280969643646976,1671857967000.0,2022-12-24 04:59:27,+0000,,@FIFAWorldCup 😑😀😀😬😬🙄😍😍😍😍😍😍,und,[],[],1333809460129632256,1333809460129632256,Shina_Anshuman,Anshuman Shina,6,04,https://twitter.com/Shina_Anshuman/status/1606514871822319616,[],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,"[{'screen_name': 'FIFAWorldCup', 'name': 'FIFA World Cup', 'id': '138372303'}]",,,,
1606514862338752513,1606514862338752513,1671857965000.0,2022-12-24 04:59:25,+0000,,Ciudades y estadios sedes de #FIFAWorldCup 2026  https://t.co/Mqs8Hj01DM,es,['fifaworldcup'],[],231062728,231062728,Jurcot,Jurcot,6,04,https://twitter.com/Jurcot/status/1606514862338752513,[],['https://pbs.twimg.com/media/Fkt8uQHXoAA_8Fi.jpg'],1,https://pbs.twimg.com/media/Fkt8uQHXoAA_8Fi.jpg,False,0,0,0,,FIFA WORLD CUP,,,,,,,[],,,,
1606514845813276673,1605944220770078721,1671857961000.0,2022-12-24 04:59:21,+0000,,@fifaworldcup_ar المنتخب اليمني,ar,[],[],1605941924514463745,1605941924514463745,wwalgabry,wwalgabry,6,04,https://twitter.com/wwalgabry/status/1606514845813276673,[],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,"[{'screen_name': 'fifaworldcup_ar', 'name': 'كأس العالم FIFA 🏆', 'id': '142266613'}]",,,,
1606514836556419072,1606303867519524864,1671857959000.0,2022-12-24 04:59:19,+0000,,@RicardoCoalla @sondatos_noop @fifaworldcup_es tampoco es difícil entender que las estrellas en la camiseta representan los mundiales mamertos,es,[],[],750335418,750335418,lawti__,lawti,6,04,https://twitter.com/lawti__/status/1606514836556419072,[],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,"[{'screen_name': 'RicardoCoalla', 'name': 'Ricardo Coalla', 'id': '343058375'}, {'screen_name': 'sondatos_noop', 'name': 'Son Datos No Opiniones (Jesús Chirinos)', 'id': '1093454389304545280'}, {'screen_name': 'fifaworldcup_es', 'name': 'Copa Mundial FIFA 🏆', 'id': '142296675'}]",,,,
1606514825319833600,1606258319940759552,1671857956000.0,2022-12-24 04:59:16,+0000,,@Jewd_ @FIFAWorldCup @richarlison97 SUPERAAA,es,[],[],1188958630298767360,1188958630298767360,Marisfds8,Mari,6,04,https://twitter.com/Marisfds8/status/1606514825319833600,[],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,"[{'screen_name': 'Jewd_', 'name': 'LOCAL ORDINARY', 'id': '294002778'}, {'screen_name': 'FIFAWorldCup', 'name': 'FIFA World Cup', 'id': '138372303'}, {'screen_name': 'richarlison97', 'name': 'Richarlison Andrade', 'id': '902953691879223305'}]",,,,
